FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
1;ALL1-2;FRA;ALL1;452.667;148.333;Valerie Le Corre;;;RgMap;IMP;0.945003396;
100000;Wil-1;LTU;Wil;546.833;253.167;Magnus Nordborg;;CS78702;RgMap;IMP;0.921465371;
10001;TueV-13;GER;Tubingen - Volksbank;48.52;9.05;Kirsten Bomblies;12/30/1999 0:00;CS76407;1001G;REF;0.98940881;
10002;TueWa1-2;GER;Tubingen - Wanne;48.53;9.04;Kirsten Bomblies;12/30/1999 0:00;CS76405;1001G;REF;0.9868961;
10004;Bolin-1;ROU;;44.46;25.74;;12/30/1999 0:00;CS76373;1001G;REF;0.946667673;
10005;Copac-1;ROU;;46.11;21.95;;12/30/1999 0:00;CS76420;1001G;REF;0.957112904;
10006;Kastel-1;UKR;Kastel Mountain;446.419;343.814;James Beck;12/30/1999 0:00;CS76395;1001G;REF;0.896338441;
10008;Sij-1;UZB;Sijjak;41.45;70.05;Heike Schmuths;12/30/1999 0:00;CS76379;1001G;REF;0.993040781;
10009;Sij-2;UZB;;41.45;70.05;;12/30/1999;CS76380;1001G;REF;0.993884254;
10010;Sij-4;UZB;;41.45;70.05;;12/30/1999;CS76381;1001G;REF;0.991404993;
10011;Yeg-1;ARM;Yeghegis;398.692;453.622;James Beck;12/30/1999 0:00;CS76394;1001G;REF;0.991109551;
10012;Istisu-1;AZE;Istisu;389.786;485.594;James Beck;12/30/1999 0:00;CS76389;1001G;REF;0.964847153;
10013;Lerik1-3;AZE;Lerik;387.406;486.131;James Beck;;CS76388;1001G;REF;0.967229829;
10014;Xan-1;AZE;Xanbulan;386.536;487.992;James Beck;12/30/1999 0:00;CS76387;1001G;REF;0.982961594;
10015;Ara-1;AFG;;37.29;71.3;;12/30/1999 0:00;CS76382;1001G;REF;0.992839798;
10017;Petro-1;SRB;;44.34;21.46;;12/30/1999 0:00;CS76370;1001G;REF;0.945318185;
10018;Dobra-1;SRB;;44.84;20.16;;12/30/1999;CS76369;1001G;REF;0.949111682;
1002;Ale-Stenar-64-24;SWE;Ales Stenar;553.833;14.05;Jon Ågren;01/01/2001 00:00;CS76654;RgMap;REF;0.99167874;
