Nordborgid;Native name;ABRC Stocknumber;Line;Mean length C;Mean length E;Ratio;Measured
7515;RRS-10;CS22689;1;2,439607;0,381518;6,394475;March
7000;Aa-0;CS28007;2;2,67847;0,216574;12,36747;March
6990;Amel-1;CS28014;4;2,116017;0,450026;4,701991;March
6996;An-2;CS28017;5;2,206142;0,273046;8,079754;March
6992;Ang-0;CS28018;6;1,220523;0,098735;12,36154;Sept
6994;Fjä1-5;CS28049;7;1,265076;0,094657;13,36487;Sept
7014;Ba-1;CS28053;9;1,050112;0,094389;11,12542;Sept
7002;Baa-1;CS28054;10;2,154131;0,375927;5,73018;March
7011;Be-1;CS28063;11;2,057527;0,68264;3,014072;March
7008;Benk-1;CS28064;12;1,821294;0,268654;6,779335;Sept
7035;Blh-2;CS28090;13;2,450054;0,334993;7,313747;March
7026;Boot-1;CS28091;14;2,260864;0,27205;8,310484;March
7004;Bs-2;CS28097;15;2,409395;0,289214;8,330842;Sept
7031;Bsch-0;CS28099;16;2,542168;0,230601;11,0241;March
7056;Bu-8;CS28108;17;1,835262;0,154512;11,87778;Sept
7062;Ca-0;CS28128;18;2,445566;0,231292;10,57351;Sept
7069;Cha-0;CS28133;19;2,207764;0,19756;11,17515;Sept
7071;Chat-1;CS28135;20;1,902492;0,071112;26,75364;Sept
6727;CIBC-2;CS28140;21;1,949475;0,637933;3,055926;March
6729;CIBC-4;CS28141;22;2,004022;0,22844;8,772629;March
6730;CIBC-5;CS28142;23;1,773047;0,450506;3,93568;March
7075;Cit-0;CS28158;24;2,29278;0,219569;10,44219;March
7078;Co-2;CS28163;26;1,988622;0,105311;18,88329;Sept
7080;Co-4;CS28165;27;1,31569;0,105483;12,47299;March
6744;CSHL-5;CS28181;28;1,816566;0,226248;8,029093;March
7094;Da-0;CS28200;30;2,482351;0,210661;11,78362;March
7460;Da(1)-12;CS28201;31;2,380343;0,321752;7,398057;Sept
7100;Db-0;CS28202;32;2,472778;0,234897;10,52706;March
7098;Di-1;CS28208;33;1,766736;0,207085;8,53146;March
7102;Do-0;CS28210;34;1,734122;0,073703;23,52855;March
7110;Ede-1;CS28217;36;1,863403;0,217701;8,559456;March
7123;Ep-0;CS28236;37;1,551719;0,118068;13,14256;March
7126;Es-0;CS28241;38;1,737662;0,19706;8,817929;March
7128;Est-0;CS28243;39;1,922333;0,181814;10,57308;March
7135;Fr-4;CS28268;41;2,756474;0,164925;16,71348;Sept
7141;Ga-2;CS28274;42;1,529775;0,122067;12,53226;March
7145;Ge-1;CS28277;43;2,434417;0,11396;21,36201;Sept
7143;Gel-1;CS28279;44;1,308712;0,110195;11,87636;March
7147;Gie-0;CS28280;45;1,679322;0,116885;14,36732;March
7151;Go-0;CS28282;46;1,441477;0,157169;9,171509;March
7158;Gr-5;CS28326;47;2,23196;0,272046;8,204351;Sept
7150;Gu-1;CS28332;48;1,501649;0,532575;2,819598;Sept
7163;Ha-0;CS28336;49;0,973248;0,079096;12,30459;March
7164;Hau-0;CS28343;50;1,09984;0,02197;50,06069;March
7166;Hey-1;CS28344;51;1,797165;0,144593;12,42911;Sept
7169;Hh-0;CS28345;52;1,589241;0,107569;14,77416;March
