accession_id  	Name	CS Number	Country	Lat	Long	Collector	Sequenced by
992	Ale-Stenar-44-4	CS76652	SWE	55.3833	14.05	Jon Ågren	GMI
997	Ale-Stenar-56-14	CS76653	SWE	55.3833	14.05	Jon Ågren	GMI
1002	Ale-Stenar-64-24	CS76654	SWE	55.3833	14.05	Jon Ågren	GMI
1066	Brösarp-34-145	CS76730	SWE	55.7167	14.1333	Jon Ågren	GMI
1435	Röd-17-319	CS77221	SWE	62.8	18.2	Jon Ågren	GMI
5830	App1-12	CS76667	SWE	56.3333	15.9667	Magnus Nordborg	GMI
5831	App1-14	CS76668	SWE	56.3333	15.9667	Magnus Nordborg	GMI
5832	App1-16	CS76669	SWE	56.3333	15.9667	Magnus Nordborg	GMI
5856	Dör-10	CS76806	SWE	63.0167	17.4914	Magnus Nordborg	GMI
5867	Dra2-1	CS76810	SWE	55.76	14.12	Magnus Nordborg	GMI
6009	Eden-1	CS76826	SWE	62.877	18.177	Magnus Nordborg	GMI
6012	Eden-7	CS76829	SWE	62.877	18.177	Magnus Nordborg	GMI
6013	Eden-9	CS76830	SWE	62.877	18.177	Magnus Nordborg	GMI
6016	Eds-1	CS76834	SWE	62.9	18.4	Magnus Nordborg	GMI
6017	Eds-9	CS76835	SWE	62.9	18.4	Magnus Nordborg	GMI
6019	Fjä1-2	CS76860	SWE	56.06	14.29	Magnus Nordborg	GMI
6020	Fjä1-5	CS76861	SWE	56.06	14.29	Magnus Nordborg	GMI
6021	Fjä2-4	CS76862	SWE	56.06	14.29	Magnus Nordborg	GMI
6023	Fly2-1	CS76863	SWE	55.7509	13.3712	Magnus Nordborg	GMI
6024	Fly2-2	CS76864	SWE	55.7509	13.3712	Magnus Nordborg	GMI
6025	Gro-3	CS76889	SWE	62.6437	17.7339	Magnus Nordborg	GMI
6030	Grön-5	CS76893	SWE	62.806	18.1896	Magnus Nordborg	GMI
6034	Hov1-7	CS76932	SWE	56.1	13.74	Magnus Nordborg	GMI
6035	Hov1-10	CS76931	SWE	56.1	13.74	Magnus Nordborg	GMI
6036	Hov3-2	CS76934	SWE	56.1	13.74	Magnus Nordborg	GMI
6038	Hov3-5	CS76935	SWE	56.1	13.74	Magnus Nordborg	GMI
6039	Hovdala-2	CS76937	SWE	56.1	13.74	Torbjorn Sall	GMI
6040	Kni-1	CS76970	SWE	55.66	13.4	Magnus Nordborg	GMI
6041	Lis-3	CS77044	SWE	56.0328	14.775	Magnus Nordborg	GMI
6042	Lom1-1	CS77048	SWE	56.09	13.9	Magnus Nordborg	GMI
6043	Löv-1	CS77049	SWE	62.801	18.079	Magnus Nordborg	GMI
6046	Löv-5	CS77050	SWE	62.801	18.079	Magnus Nordborg	GMI
6064	Nyl-2	CS77136	SWE	62.9513	18.2763	Magnus Nordborg	GMI
6069	Nyl-7	CS77137	SWE	62.9513	18.2763	Magnus Nordborg	GMI
