gene	marker_id
AT1G01010	5685_1
AT1G01020	8329_1
AT1G01030	13538_1
AT1G01040	31223_1
AT1G01046	28525_1
AT1G01050	32854_1
AT1G01060	37868_1
AT1G01070	40854_1
AT1G01073	44778_1
AT1G01080	46935_1
AT1G01090	49277_1
AT1G01100	51187_1
AT1G01110	54681_1
AT1G01115	56721_1
AT1G01120	59016_1
AT1G01130	63757_1
AT1G01140	67536_1
AT1G01150	72055_1
AT1G01160	74061_1
AT1G01170	74707_1
AT1G01180	76731_1
AT1G01190	84697_1
AT1G01200	88104_1
AT1G01210	89635_1
AT1G01220	95638_1
AT1G01225	97390_1
AT1G01230	98679_1
AT1G01240	100898_1
AT1G01250	105323_1
AT1G01260	111609_1
AT1G01280	113877_1
AT1G01290	115778_1
AT1G01300	118709_1
AT1G01305	119735_1
AT1G01310	121126_1
AT1G01320	130515_1
AT1G01340	135587_1
AT1G01350	138162_1
AT1G01355	139559_1
AT1G01360	143038_1
AT1G01370	145567_1
AT1G01380	147513_1
AT1G01390	149539_1
AT1G01400	152174_1
AT1G01410	154085_1
AT1G01420	155921_1
AT1G01430	158596_1
AT1G01440	162530_1
AT1G01448	166221_1
AT1G01450	165168_1
AT1G01453	167815_1
AT1G01460	170869_1
AT1G01470	172932_1
AT1G01471	173463_1
AT1G01480	178392_1
AT1G01490	182225_1
AT1G01500	186910_1
AT1G01510	190048_1
AT1G01520	191714_1
AT1G01530	193617_1
AT1G01540	198678_1
AT1G01550	201652_1
AT1G01560	204280_1
AT1G01570	207348_1
AT1G01580	212938_1
AT1G01590	217303_1
AT1G01600	221268_1
AT1G01610	224178_1
AT1G01620	227286_1
AT1G01630	230873_1
AT1G01640	232428_1
AT1G01650	237788_1
AT1G01660	242559_1
AT1G01670	245959_1
AT1G01680	248275_1
AT1G01690	252421_1
AT1G01695	254329_1
AT1G01700	261447_1
AT1G01710	267695_1
AT1G01720	269729_1
AT1G01725	270746_1
AT1G01730	272028_1
AT1G01740	274527_1
AT1G01750	276310_1
AT1G01760	278320_1
AT1G01770	282890_1
AT1G01780	284239_1
AT1G01790	291081_1
AT1G01800	294913_1
AT1G01810	295561_1
AT1G01820	298119_1
AT1G01830	302308_1
AT1G01840	304247_1
AT1G01860	305925_1
AT1G01880	309103_1
AT1G01900	313108_1
AT1G01910	315789_1
AT1G01920	319630_1
AT1G01930	322832_1
AT1G01940	324835_1
AT1G01950	330555_1
AT1G01960	337358_1
AT1G01970	340067_1
AT1G01980	341990_1
AT1G01990	344331_1
AT1G02000	347439_1
AT1G02010	352401_1
AT1G02020	354756_1
AT1G02030	357142_1
AT1G02040	358639_1
AT1G02050	360454_1
AT1G02060	363085_1
AT1G02065	367238_1
AT1G02070	370632_1
AT1G02074	372179_1
AT1G02080	386833_1
AT1G02090	389560_1
AT1G02100	392351_1
AT1G02110	395526_1
